Symbol	POL SNP cum. AF	POL SNP cum. AC	POL SNP cum. AN	GnomAD NFE SNP cum. AF	GnomAD NFE SNP cum. AC	GnomAD NFE SNP cum. AN	P-value	Cum. SNP AF fold change	fisher_p	symbol	min(mean_depth)	avg(mean_depth)	max(mean_depth)	min(pct10x)	avg(pct10x)	max(pct10x)	min(pct20x)	avg(pct20x)	max(pct20x)	FILTER	pscaled_fisher_p	pscaled_P-value	diff	greater_AF_in
DCLRE1C	0.000929368	2	2152	7.7458e-05	5	64598	12.6375473257915	3.58476381489419	0.01958527641386124	DCLRE1C	36.21	36.209999084472656	36.21	100.0	100.0	100.0	100.0	100.0	100.0	PASS	1.708070294722828	-1.1016627949722813	0.00085191	PL
NAGA	0.0009298	2	2152	7.74444e-05	5	64598	12.6375473257915	3.58568759915123	0.01958527641386124	NAGA	37.42	37.41999816894531	37.42	100.0	100.0	100.0	99.3	99.3000030517578	99.3	PASS	1.708070294722828	-1.1016627949722813	0.0008523556	PL
CYP27A1	0.003252792	7	2152	0.0012078883	78	64598	41.7024294594318	1.42919152512342	0.01999829298988819	CYP27A1	41.31	41.310001373291016	41.31	100.0	100.0	100.0	100.0	100.0	100.0	PASS	1.6990070731715687	-1.6201613564147916	0.0020449037	PL
PCDH15	0.001858736	4	2152	0.0004492958	29	64598	32.4078431244217	2.04858439516041	0.020949192040369942	PCDH15	33.42	33.41999816894531	33.42	100.0	100.0	100.0	98.45	98.4499969482422	98.45	PASS	1.678832722061666	-1.5106501279056326	0.0014094402	PL
GPR179	0.001394052	3	2152	0.0002478108	16	64598	28.1471746132423	2.49197340768944	0.022040726657581066	GPR179	41.9	41.900001525878906	41.9	100.0	100.0	100.0	100.0	100.0	100.0	PASS	1.6567740913912408	-1.449434807305976	0.0011462412	PL
B9D1	0.00139405	3	2152	0.0002477842	16	64598	28.1471746132423	2.49212620503333	0.022040726657581066	B9D1	44.73	44.72999954223633	44.73	100.0	100.0	100.0	100.0	100.0	100.0	PASS	1.6567740913912408	-1.449434807305976	0.0011462657999999999	PL
POLR3B	0.0027881	6	2152	0.0009603359	62	64598	45.9804603117311	1.53767129123422	0.022343296250220128	POLR3B	35.83	35.83000183105469	35.83	100.0	100.0	100.0	99.74	99.73999786376952	99.74	PASS	1.6508527561228092	-1.6625733146897654	0.0018277641	PL
HPDL	0.00418302	9	2152	0.0086257243	557	64598	74.5493393103097	-1.04410070875917	0.022705832150004823	HPDL	43.52	43.52000045776367	43.52	100.0	100.0	100.0	100.0	100.0	100.0	PASS	1.6438625769370883	-1.872443798893531	-0.0044427043	NFE
ANO6	0.0	0	2152	0.002028817	131	64598	129.091511559864	0.0	0.02374830995536844	ANO6	37.1	37.09999847412109	37.1	100.0	100.0	100.0	99.97	99.97000122070312	99.97	PASS	1.6243672914359026	-2.110897686078108	-0.002028817	NFE
DBH	0.0	0	2152	0.0020291482	131	64598	129.091511559864	0.0	0.02374830995536844	DBH	41.04	41.040000915527344	41.04	100.0	100.0	100.0	100.0	100.0	100.0	PASS	1.6243672914359026	-2.110897686078108	-0.0020291482	NFE
CFTR	0.014869842	32	2152	0.0221261638	1429	64598	62.8784712405275	-0.573364022521435	0.024236185694971518	CFTR	34.57	34.56999969482422	34.57	100.0	100.0	100.0	99.61	99.61000061035156	99.61	PASS	1.6155357286465222	-1.7985019741911152	-0.007256321800000002	NFE
RNF224	0.0	0	2152	0.0020986006	136	64598	116.891738631327	0.0	0.02451189433061006	RNF224	40.22	40.220001220703125	40.22	100.0	100.0	100.0	100.0	100.0	100.0	PASS	1.6106231242624	-2.067783818316574	-0.0020986006	NFE
LTC4S	0.000464684	1	2152	0.00312887	202	64598	88.8377325885749	-2.75131984200315	0.025025532201226837	LTC4S	43.1	43.09999847412109	43.1	100.0	100.0	100.0	100.0	100.0	100.0	PASS	1.601616677900656	-1.9485974654906122	-0.0026641860000000002	NFE
ABCG5	0.00139405	3	2152	0.0002633083	17	64598	37.2692212900959	2.40445740304907	0.025321211059136157	ABCG5	35.06	35.060001373291016	35.06	100.0	100.0	100.0	100.0	100.0	100.0	PASS	1.5965155267857167	-1.5713503186205575	0.0011307417	PL
DNAJB2	0.00139405	3	2152	0.000263305	17	64598	37.2692212900959	2.40447548422414	0.025321211059136157	DNAJB2	40.06	40.060001373291016	40.06	100.0	100.0	100.0	100.0	100.0	100.0	PASS	1.5965155267857167	-1.5713503186205575	0.001130745	PL
JAK3	0.0009298	2	2152	9.29588e-05	6	64598	25.5027688109858	3.32225707555196	0.025560667352188312	JAK3	37.59	37.59000015258789	37.59	100.0	100.0	100.0	98.55	98.5500030517578	98.55	PASS	1.5924278115625674	-1.4065873339262764	0.0008368412	PL
TMC6	0.000929368	2	2152	9.29339e-05	6	64598	25.5027688109858	3.32197311344724	0.025560667352188312	TMC6	42.07	42.06999969482422	42.07	100.0	100.0	100.0	99.9	99.9000015258789	99.9	PASS	1.5924278115625674	-1.4065873339262764	0.0008364341	PL
SLC26A2	0.005112817	11	2152	0.0025259415	163	64598	71.5294348609248	1.0172971622734	0.02946239460121677	SLC26A2	37.55	37.54999923706055	37.55	100.0	100.0	100.0	100.0	100.0	100.0	PASS	1.5307319581101089	-1.854484793788294	0.0025868755000000004	PL
AKR1D1	0.000929368	2	2152	0.0001086914	7	64598	44.2636354253853	3.09601217644283	0.03216969831918373	AKR1D1	36.32	36.31999969482422	36.32	100.0	100.0	100.0	99.89	99.88999938964844	99.89	PASS	1.4925530118032877	-1.6460470801819804	0.0008206766	PL
EMP2	0.000464684	1	2152	0.0	0	64598	15.9574055613384	0.0	0.0322397003767854	EMP2	35.58	35.58000183105469	35.58	100.0	100.0	100.0	100.0	100.0	100.0	PASS	1.491609003011904	-1.2029622828802558	0.000464684	PL
C11orf80	0.000464684	1	2152	0.0	0	64598	15.9574055613384	0.0	0.0322397003767854	C11orf80	37.5	37.5	37.5	100.0	100.0	100.0	100.0	100.0	100.0	PASS	1.491609003011904	-1.2029622828802558	0.000464684	PL
CFAP300	0.000465116	1	2152	0.0	0	64598	15.9574055613384	0.0	0.0322397003767854	CFAP300	41.0	41.0	41.0	100.0	100.0	100.0	100.0	100.0	100.0	PASS	1.491609003011904	-1.2029622828802558	0.000465116	PL
ALDH6A1	0.000464684	1	2152	0.0	0	64598	15.9574055613384	0.0	0.0322397003767854	ALDH6A1	36.19	36.18999862670898	36.19	100.0	100.0	100.0	100.0	100.0	100.0	PASS	1.491609003011904	-1.2029622828802558	0.000464684	PL
IL2RA	0.000464684	1	2152	0.0	0	64598	15.9574055613384	0.0	0.0322397003767854	IL2RA	37.19	37.18999862670898	37.19	100.0	100.0	100.0	100.0	100.0	100.0	PASS	1.491609003011904	-1.2029622828802558	0.000464684	PL
MIPEP	0.000464684	1	2152	0.0	0	64598	15.9574055613384	0.0	0.0322397003767854	MIPEP	36.23	36.22999954223633	36.23	100.0	100.0	100.0	100.0	100.0	100.0	PASS	1.491609003011904	-1.2029622828802558	0.000464684	PL
STAT1	0.000464684	1	2152	0.0	0	64598	15.9574055613384	0.0	0.0322397003767854	STAT1	35.76	35.7599983215332	35.76	100.0	100.0	100.0	98.96	98.95999908447266	98.96	PASS	1.491609003011904	-1.2029622828802558	0.000464684	PL
