symbol	min(mean_depth)	avg(mean_depth)	max(mean_depth)	min(pct10x)	avg(pct10x)	max(pct10x)	min(pct20x)	avg(pct20x)	max(pct20x)
MIR4507	9.37	9.369999885559082	9.37	50.0	50.0	50.0	0.0	0.0	0.0
LOC102723506	40.26	40.2599983215332	40.26	94.54	94.54000091552734	94.54	89.15	89.1500015258789	89.15
LINC00460	35.45	35.45000076293945	35.45	100.0	100.0	100.0	100.0	100.0	100.0
FLJ40194	39.16	39.15999984741211	39.16	100.0	100.0	100.0	100.0	100.0	100.0
MIR3133	38.42	38.41999816894531	38.42	100.0	100.0	100.0	100.0	100.0	100.0
MIR3156-3	19.88	19.8799991607666	19.88	100.0	100.0	100.0	58.44	58.439998626708984	58.44
MIR6873	23.97	23.969999313354492	23.97	100.0	100.0	100.0	100.0	100.0	100.0
FGF10-AS1	33.4	33.400001525878906	33.4	100.0	100.0	100.0	100.0	100.0	100.0
CTD-2194D22.4	34.4	34.400001525878906	34.4	100.0	100.0	100.0	100.0	100.0	100.0
TMOD2	35.21	35.209999084472656	35.21	100.0	100.0	100.0	98.72	98.72000122070312	98.72
MEA1	37.45	37.45000076293945	37.45	100.0	100.0	100.0	100.0	100.0	100.0
WSCD2	37.79	37.790000915527344	37.79	100.0	100.0	100.0	100.0	100.0	100.0
NUP93	35.05	35.04999923706055	35.05	100.0	100.0	100.0	100.0	100.0	100.0
CARD8	36.31	36.310001373291016	36.31	100.0	100.0	100.0	100.0	100.0	100.0
EDARADD	35.14	35.13999938964844	35.14	100.0	100.0	100.0	99.57	99.56999969482422	99.57
FAM205BP	35.42	35.41999816894531	35.42	100.0	100.0	100.0	99.98	99.9800033569336	99.98
LOC105372636	38.97	38.970001220703125	38.97	100.0	100.0	100.0	100.0	100.0	100.0
LOC112267929	36.08	36.08000183105469	36.08	100.0	100.0	100.0	98.68	98.68000030517578	98.68
LOC105374928	35.38	35.380001068115234	35.38	100.0	100.0	100.0	99.83	99.83000183105469	99.83
LOC105377771	12.3	12.300000190734863	12.3	47.37	47.369998931884766	47.37	23.79	23.790000915527344	23.79
LOC105378658	34.04	34.040000915527344	34.04	100.0	100.0	100.0	100.0	100.0	100.0
LOC105378961	35.73	35.72999954223633	35.73	100.0	100.0	100.0	100.0	100.0	100.0
LOC105379352	36.61	36.61000061035156	36.61	100.0	100.0	100.0	100.0	100.0	100.0
LOC105375672	37.82	37.81999969482422	37.82	100.0	100.0	100.0	100.0	100.0	100.0
LOC107986977	37.11	37.11000061035156	37.11	100.0	100.0	100.0	99.55	99.55000305175781	99.55
LINC01839	37.1	37.099998474121094	37.1	100.0	100.0	100.0	100.0	100.0	100.0
LOC112268029	31.54	31.540000915527344	31.54	100.0	100.0	100.0	100.0	100.0	100.0
LOC112268030	34.24	34.2400016784668	34.24	100.0	100.0	100.0	97.05	97.05000305175781	97.05
POM121C	34.59	34.59000015258789	34.59	99.85	99.8499984741211	99.85	92.07	92.06999969482422	92.07
LINC00462	31.19	31.190000534057617	31.19	100.0	100.0	100.0	98.14	98.13999938964844	98.14
LINC01891	46.43	46.43000030517578	46.43	100.0	100.0	100.0	100.0	100.0	100.0
LOC105370256	34.54	34.540000915527344	34.54	100.0	100.0	100.0	99.85	99.8499984741211	99.85
LOC107985299	37.81	37.810001373291016	37.81	100.0	100.0	100.0	100.0	100.0	100.0
LOC107985413	27.85	27.850000381469727	27.85	100.0	100.0	100.0	99.44	99.44000244140625	99.44
LOC105375418	40.41	40.40999984741211	40.41	100.0	100.0	100.0	100.0	100.0	100.0
LOC101928093	39.4	39.400001525878906	39.4	100.0	100.0	100.0	100.0	100.0	100.0
CLUL1	36.19	36.189998626708984	36.19	100.0	100.0	100.0	100.0	100.0	100.0
LOC107985236	35.78	35.779998779296875	35.78	100.0	100.0	100.0	99.71	99.70999908447266	99.71
LCE2C	25.44	25.440000534057617	25.44	100.0	100.0	100.0	86.36	86.36000061035156	86.36
ACOT1	3.28	3.2799999713897705	3.28	16.53	16.530000686645508	16.53	0.0	0.0	0.0
AFDN	34.56	34.560001373291016	34.56	100.0	100.0	100.0	99.92	99.91999816894531	99.92
MROH7	37.51	37.5099983215332	37.51	100.0	100.0	100.0	98.59	98.58999633789062	98.59
LOC105371551	79.07	79.06999969482422	79.07	100.0	100.0	100.0	100.0	100.0	100.0
LOC105371773	40.31	40.310001373291016	40.31	100.0	100.0	100.0	99.7	99.69999694824219	99.7
DENND6A-DT	37.37	37.369998931884766	37.37	100.0	100.0	100.0	100.0	100.0	100.0
LOC284412	35.04	35.040000915527344	35.04	100.0	100.0	100.0	94.58	94.58000183105469	94.58
LOC112268286	37.44	37.439998626708984	37.44	100.0	100.0	100.0	100.0	100.0	100.0
LOC107984500	41.93	41.93000030517578	41.93	100.0	100.0	100.0	100.0	100.0	100.0
LOC101928317	33.67	33.66999816894531	33.67	100.0	100.0	100.0	96.59	96.58999633789062	96.59
LOC107984504	39.05	39.04999923706055	39.05	100.0	100.0	100.0	100.0	100.0	100.0
LOC107984881	40.28	40.279998779296875	40.28	100.0	100.0	100.0	100.0	100.0	100.0
LOC105371366	37.16	37.15999984741211	37.16	100.0	100.0	100.0	99.78	99.77999877929688	99.78
LOC101929014	39.82	39.81999969482422	39.82	100.0	100.0	100.0	100.0	100.0	100.0
C20orf78	38.04	38.040000915527344	38.04	100.0	100.0	100.0	100.0	100.0	100.0
LOC107984760	40.04	40.040000915527344	40.04	100.0	100.0	100.0	100.0	100.0	100.0
LOC107983974	32.97	32.970001220703125	32.97	100.0	100.0	100.0	99.86	99.86000061035156	99.86
LOC107987323	3.24	3.240000009536743	3.24	0.0	0.0	0.0	0.0	0.0	0.0
CDS1	33.88	33.880001068115234	33.88	100.0	100.0	100.0	98.39	98.38999938964844	98.39
LOC105376292	34.79	34.790000915527344	34.79	100.0	100.0	100.0	100.0	100.0	100.0
LOC105376390	35.4	35.400001525878906	35.4	100.0	100.0	100.0	100.0	100.0	100.0
LOC105370300	39.49	39.4900016784668	39.49	100.0	100.0	100.0	100.0	100.0	100.0
LOC101927712	40.45	40.45000076293945	40.45	100.0	100.0	100.0	100.0	100.0	100.0
C3orf14	37.21	37.209999084472656	37.21	100.0	100.0	100.0	100.0	100.0	100.0
OR4E1	33.54	33.540000915527344	33.54	100.0	100.0	100.0	98.73	98.7300033569336	98.73
LOC105371642	35.44	35.439998626708984	35.44	100.0	100.0	100.0	99.94	99.94000244140625	99.94
LOC102723458	36.39	36.38999938964844	36.39	100.0	100.0	100.0	100.0	100.0	100.0
LINC02507	35.17	35.16999816894531	35.17	100.0	100.0	100.0	100.0	100.0	100.0
LOC105377488	35.51	35.5099983215332	35.51	100.0	100.0	100.0	100.0	100.0	100.0
LINC02272	34.71	34.709999084472656	34.71	100.0	100.0	100.0	100.0	100.0	100.0
LOC107986326	38.72	38.720001220703125	38.72	100.0	100.0	100.0	100.0	100.0	100.0
